urban,sub_district,city,postal_code,province_code
MANDI ANGIN BARAT,KARANG INTAN,BANJAR,70661,63
MANDI ANGIN TIMUR,KARANG INTAN,BANJAR,70661,63
MANDI KAPAU BARAT,KARANG INTAN,BANJAR,70661,63
MANDI KAPAU TIMUR,KARANG INTAN,BANJAR,70661,63
MANDIN,PULAU SEBUKU,KOTABARU,72155,63
MANDINGIN,BARABAI,HULU SUNGAI TENGAH,71315,63
MANDUIN,MUARA HARUS,TABALONG,71555,63
MANDURIAN HILIR,TAPIN TENGAH,TAPIN,71161,63
MANDURIAN,TAPIN TENGAH,TAPIN,71161,63
MANGGA,KELUMPANG UTARA,KOTABARU,72165,63
MANGKA LAWAT,MATARAMAN,BANJAR,70672,63
MANGKA,PAMUKAN BARAT,KOTABARU,72169,63
MANGKALAPI,KUSAN HULU,TANAH BUMBU,72272,63
MANGKAUK,PENGARON,BANJAR,70674,63
MANGKAYAHU,PARINGIN,BALANGAN,71614,63
MANGKIRANA,KELUMPANG HULU,KOTABARU,72162,63
MANGKUPUM,MUARA UYA,TABALONG,71573,63
MANGKUSIP,TANTA,TABALONG,71561,63
MANGUNANG SEBERANG,HARUYAN,HULU SUNGAI TENGAH,71363,63
MANGUNANG,HARUYAN,HULU SUNGAI TENGAH,71363,63
MANIAPUN,PENGARON,BANJAR,70674,63
MANTAAS,LABUAN AMAS UTARA,HULU SUNGAI TENGAH,71362,63
MANTEWE,MANTEWE,TANAH BUMBU,72211,63
MANTIMIN,BATU MANDI,BALANGAN,71663,63
MANTUIL,BANJARMASIN SELATAN,BANJARMASIN,70244,63
MANTUIL,MUARA HARUS,TABALONG,71555,63
MANTUYAN,HALONG,BALANGAN,71666,63
MANUNGGAL,KARANG BINTANG,TANAH BUMBU,72211,63
MANUNGGUL BARU,SUNGAI DURIAN,KOTABARU,72167,63
MANUNGGUL LAMA,SUNGAI DURIAN,KOTABARU,72167,63
MANUNTUNG,KUSAN HULU,TANAH BUMBU,72272,63
MANURUNG,KUSAN HILIR,TANAH BUMBU,72273,63
MARABAHAN BARU,ANJIR MUARA,BARITO KUALA,70564,63
MARABAHAN KOTA,MARABAHAN,BARITO KUALA,70511,63
MARADAP,PARINGIN SELATAN,BALANGAN,71662,63
MARADAPAN,PULAU SEMBILAN,KOTABARU,72181,63
MARAJAI,HALONG,BALANGAN,71666,63
MARAMPIAU HILIR,CANDI LARAS SELATAN,TAPIN,71162,63
MARAMPIAU,CANDI LARAS SELATAN,TAPIN,71162,63
MARGA JAYA,PAMUKAN BARAT,KOTABARU,72169,63
MARGA MULYA,SUNGAI LOBAN,TANAH BUMBU,72274,63
MARGASARI ILIR,CANDI LARAS UTARA,TAPIN,71171,63
MARGASARI ULU,CANDI LARAS SELATAN,TAPIN,71162,63
MARIAS,JUAI,BALANGAN,71665,63
MARINDI,HARUAI,TABALONG,71572,63
MARINGGIT,BATANG ALAI UTARA,HULU SUNGAI TENGAH,71391,63
MARTADAH BARU,TAMBANG ULANG,TANAH LAUT,70854,63
MARTADAH,TAMBANG ULANG,TANAH LAUT,70854,63
MASINGAI I,UPAU,TABALONG,71575,63
MASINGAI II,UPAU,TABALONG,71575,63
MASINTAN,KELUA (KLUA),TABALONG,71552,63
MASIRAAN,PANDAWAN,HULU SUNGAI TENGAH,71352,63
MASTA,BAKARANGAN,TAPIN,71152,63
MASUKAU,MURUNG PUDAK,TABALONG,71571,63
MATANG BATAS,HATUNGUN,TAPIN,71184,63
MATANG GINALUN,PANDAWAN,HULU SUNGAI TENGAH,71352,63
MATANG HANAU,LAMPIHONG,BALANGAN,71661,63
MATANG LURUS,LAMPIHONG,BALANGAN,71661,63
MATARAMAN,MATARAMAN,BANJAR,70672,63
MAUYA,HALONG,BALANGAN,71666,63
MAWANGI,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
MAWAR SARI,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
MAWAR,BANJARMASIN TENGAH,BANJARMASIN,70112,63
MAYANAU,TEBING TINGGI,BALANGAN,71664,63
MAYANG SARI,PAMUKAN BARAT,KOTABARU,72169,63
MEGA SARI,PULAU LAUT UTARA,KOTABARU,72114,63
MEKAR JAYA,ANGSANA,TANAH BUMBU,72275,63
MEKAR JAYA,KUSAN HILIR,TANAH BUMBU,72273,63
MEKAR PURA,PULAU LAUT TENGAH,KOTABARU,72156,63
MEKAR RAYA (MEKARSARI),KINTAP,TANAH LAUT,70883,63
MEKAR RAYA,KERTAK HANYAR,BANJAR,70654,63
MEKAR SARI,MEKAR SARI,BARITO KUALA,70568,63
MEKAR SARI,SIMPANG EMPAT,TANAH BUMBU,72211,63
MEKAR SARI,TATAH MAKMUR,BANJAR,70654,63
MEKAR,MARTAPURA TIMUR,BANJAR,70617,63
MEKARSARI,BINUANG,TAPIN,71183,63
MELAYU ILIR,MARTAPURA TIMUR,BANJAR,70617,63
MELAYU TENGAH,MARTAPURA TIMUR,BANJAR,70617,63
MELAYU ULU,MARTAPURA TIMUR,BANJAR,70617,63
MELAYU,BANJARMASIN TENGAH,BANJARMASIN,70234,63
MENTAOS,BANJAR BARU UTARA,BANJARBARU,70714,63
MENTAREN,ANJIR PASAR,BARITO KUALA,70565,63
MENTAWAKAN MULYA / MULIA,MANTEWE,TANAH BUMBU,72211,63
MERAH,AWAYAN,BALANGAN,71664,63
MIAWA,PIANI,TAPIN,71191,63
MIHU,JUAI,BALANGAN,71665,63
MUANG,JARO,TABALONG,71574,63
MUARA ASAM ASAM,JORONG,TANAH LAUT,70881,63
